"title","author","avg_ratings","num_ratings","num_reviews","pages","original_publish_year","places","awards","genres","Field14"
"The Hunger Games","Suzanne Collins","4.32","6,684,952  ","175,492    ","First Edition",,"Setting",,"Young Adult                                                             Fiction                                                               Science Fiction >        Dystopia                                                             Fantasy                                                             Science Fiction                                                             Romance                                                             Adventure                                                               Young Adult >        Teen                                                               Apocalyptic >        Post Apocalyptic                                                             Action                                             ","English"
"Little Women","Louisa May Alcott","4.10","1,756,450  ","32,977    ","449 ","(September 30th 1868)","Setting",,"Classics                                                             Fiction                                                               Historical >        Historical Fiction                                                             Young Adult                                                             Romance                                                             Historical                                                             Literature                                                             Childrens                                                               Classics >        Classic Literature                                                             Novels                                             ","English"
"The Hobbit, or There and Back Again","J.R.R. Tolkien","4.28","3,044,237  ","51,226    ","366 ","(September 21st 1937)","Setting",,"Fantasy                                                             Classics                                                             Fiction                                                             Adventure                                                             Young Adult                                                             Science Fiction Fantasy                                                               Fantasy >        High Fantasy                                                             Childrens                                                               Fantasy >        Epic Fantasy                                                             Novels                                             ","English"
"Of Mice and Men","John Steinbeck","3.88","2,028,337  ","36,307    ","Steinbeck Centennial Edition, US / CAN Edition","(1937)","Setting",,"Classics                                                             Fiction                                                               Academic >        School                                                               Historical >        Historical Fiction                                                             Literature                                                               Academic >        Read For School                                                             Novels                                                               Young Adult >        High School                                                               Literature >        American                                                               Classics >        Classic Literature                                             ","English"
"Green Eggs and Ham","Dr. Seuss","4.29","651,840  ","9,779    ","64 ","(June 1960)","Other Editions (94)","All Editions | Add a New Edition | Combine","Childrens                                                               Childrens >        Picture Books                                                             Classics                                                             Fiction                                                             Poetry                                                             Fantasy                                                             Humor                                                             Kids                                                               Food and Drink >        Food                                                             Young Adult                                             ","English"
"Fahrenheit 451","Ray Bradbury","3.99","1,784,992  ","51,198    ","60th Anniversary Edition","(October 19th 1953)","Literary Awards                                  Prometheus Hall of Fame Award (1984), Geffen Award for Best Translated SF Book (2002), California Book Award for Fiction (Silver) (1953), Retro Hugo Award for Best Novel (2004)",,"Classics                                                             Fiction                                                             Science Fiction                                                               Science Fiction >        Dystopia                                                               Academic >        School                                                             Literature                                                             Novels                                                             Fantasy                                                             Adult                                                             Science Fiction Fantasy                                             ","English"
"Harry Potter and the Prisoner of Azkaban","J.K. Rowling","4.57","3,004,249  ","59,254    ","435 ","(July 8th 1999)","Setting",,"Fantasy                                                             Young Adult                                                             Fiction                                                               Fantasy >        Magic                                                             Childrens                                                               Childrens >        Middle Grade                                                             Adventure                                                             Audiobook                                                             Classics                                                             Science Fiction Fantasy                                             ","English"
"Alice's Adventures in Wonderland / Through the Looking-Glass","Lewis Carroll","4.06","479,245  ","11,210    ","239 ","(1871)","Setting",,"Classics                                                             Fantasy                                                             Fiction                                                             Childrens                                                             Young Adult                                                             Literature                                                             Adventure                                                               Childrens >        Middle Grade                                                             Novels                                                               Literature >        th Century                                             ","English"
"Wuthering Heights","Emily Brontë","3.87","1,408,800  ","40,202    ","Fourth Edition","(December 1847)","Yorkshire Dales, England,1800",,"Classics                                                             Fiction                                                             Romance                                                             Gothic                                                             Literature                                                               Historical >        Historical Fiction                                                               Literature >        th Century                                                             Novels                                                               Classics >        Classic Literature                                                             Historical                                             ","English"
"Gone with the Wind","Margaret Mitchell","4.30","1,102,577  ","20,497    ","1037 ","(June 30th 1936)","Atlanta, Georgia(United States)","Pulitzer Prize for Novel (1937), National Book Award for Novel (1936)","Classics                                                               Historical >        Historical Fiction                                                             Fiction                                                             Romance                                                             Historical                                                             War                                                             Literature                                                               Military History >        Civil War                                                               Romance >        Historical Romance                                                             Novels                                             ","English"
"Night","Elie Wiesel","4.34","1,015,270  ","30,286    ","115 ","(1956)","Other Editions (150)","All Editions | Add a New Edition | Combine","Nonfiction                                                             Classics                                                             History                                                               Autobiography >        Memoir                                                               World War II >        Holocaust                                                             Biography                                                               Academic >        School                                                             Historical                                                             War                                                               War >        World War II                                             ","http://www.nightthebook.com"
"The Picture of Dorian Gray","Oscar Wilde","4.09","1,033,498  ","34,168    ","Modern Library Classics","(June 20th 1890)",,,"Classics                                                             Fiction                                                             Horror                                                             Fantasy                                                             Literature                                                             Gothic                                                             Novels                                                               Literature >        th Century                                                             LGBT                                                               Classics >        Classic Literature                                             ","Basil Hallward, Lord Henry Wotton, Sibyl Vane, James Vane, Lady Victoria Wotton...more, Alan Campbell, Henry Ashton, Adrian Singleton, Lord Staveley, Lady Gwendolen, Lady Narborough, Duchess of Monmouth, Dorian Gray...less"
